DEBUG:2018-09-15 23:18:25,725 class Data called.
DEBUG:2018-09-15 23:18:29,891 class App called
INFO:2018-09-15 23:18:29,956 joystick initialized
INFO:2018-09-15 23:18:29,956 pygame initialized
INFO:2018-09-15 23:18:29,964 theViewer created.
INFO:2018-09-15 23:18:29,965 <__main__.Viewer object at 0x0000011FD6EA4978> 
INFO:2018-09-15 23:18:31,714 a controller button was pressed
INFO:2018-09-15 23:18:31,714 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:31,714 image count now set to 0.  There are 59 total images
INFO:2018-09-15 23:18:32,592 a controller button was pressed
INFO:2018-09-15 23:18:32,592 Controller button 1 pressed
INFO:2018-09-15 23:18:35,338 a controller button was pressed
INFO:2018-09-15 23:18:35,338 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:35,338 image count now set to 1.  There are 59 total images
INFO:2018-09-15 23:18:44,119 a controller button was pressed
INFO:2018-09-15 23:18:44,119 Controller button 1 pressed
INFO:2018-09-15 23:18:45,106 a controller button was pressed
INFO:2018-09-15 23:18:45,106 Controller button 1 pressed
INFO:2018-09-15 23:18:45,562 a controller button was pressed
INFO:2018-09-15 23:18:45,562 Controller button 1 pressed
INFO:2018-09-15 23:18:45,942 a controller button was pressed
INFO:2018-09-15 23:18:45,942 Controller button 1 pressed
INFO:2018-09-15 23:18:46,207 a controller button was pressed
INFO:2018-09-15 23:18:46,207 Controller button 1 pressed
INFO:2018-09-15 23:18:46,549 a controller button was pressed
INFO:2018-09-15 23:18:46,549 Controller button 3 pressed
INFO:2018-09-15 23:18:47,006 a controller button was pressed
INFO:2018-09-15 23:18:47,006 Controller button 3 pressed
INFO:2018-09-15 23:18:47,424 a controller button was pressed
INFO:2018-09-15 23:18:47,424 Controller button 2 pressed
INFO:2018-09-15 23:18:47,918 a controller button was pressed
INFO:2018-09-15 23:18:47,918 Controller button 2 pressed
INFO:2018-09-15 23:18:48,184 a controller button was pressed
INFO:2018-09-15 23:18:48,184 Controller button 2 pressed
INFO:2018-09-15 23:18:48,487 a controller button was pressed
INFO:2018-09-15 23:18:48,487 Controller button 2 pressed
INFO:2018-09-15 23:18:48,943 a controller button was pressed
INFO:2018-09-15 23:18:48,943 Controller button 0 pressed
INFO:2018-09-15 23:18:49,665 a controller button was pressed
INFO:2018-09-15 23:18:49,665 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:49,665 image count now set to 2.  There are 59 total images
INFO:2018-09-15 23:18:50,271 a controller button was pressed
INFO:2018-09-15 23:18:50,271 Controller button 0 pressed
INFO:2018-09-15 23:18:50,614 a controller button was pressed
INFO:2018-09-15 23:18:50,614 Controller button 0 pressed
INFO:2018-09-15 23:18:51,639 a controller button was pressed
INFO:2018-09-15 23:18:51,639 Controller button 0 pressed
INFO:2018-09-15 23:18:52,248 a controller button was pressed
INFO:2018-09-15 23:18:52,248 Controller button 0 pressed
INFO:2018-09-15 23:18:53,278 a controller button was pressed
INFO:2018-09-15 23:18:53,278 Controller button 0 pressed
INFO:2018-09-15 23:18:53,731 a controller button was pressed
INFO:2018-09-15 23:18:53,731 Controller button 0 pressed
INFO:2018-09-15 23:18:54,111 a controller button was pressed
INFO:2018-09-15 23:18:54,111 Controller button 0 pressed
INFO:2018-09-15 23:18:54,415 a controller button was pressed
INFO:2018-09-15 23:18:54,415 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:54,415 image count now set to 3.  There are 59 total images
INFO:2018-09-15 23:18:54,794 a controller button was pressed
INFO:2018-09-15 23:18:54,794 Controller button 1 pressed
INFO:2018-09-15 23:18:55,137 a controller button was pressed
INFO:2018-09-15 23:18:55,137 Controller button 1 pressed
INFO:2018-09-15 23:18:55,441 a controller button was pressed
INFO:2018-09-15 23:18:55,441 Controller button 2 pressed
INFO:2018-09-15 23:18:55,786 a controller button was pressed
INFO:2018-09-15 23:18:55,786 Controller button 2 pressed
INFO:2018-09-15 23:18:56,396 a controller button was pressed
INFO:2018-09-15 23:18:56,396 Controller button 1 pressed
INFO:2018-09-15 23:18:56,815 a controller button was pressed
INFO:2018-09-15 23:18:56,815 Controller button 1 pressed
INFO:2018-09-15 23:18:57,121 a controller button was pressed
INFO:2018-09-15 23:18:57,121 Controller button 0 pressed
INFO:2018-09-15 23:18:57,425 a controller button was pressed
INFO:2018-09-15 23:18:57,425 Controller button 0 pressed
